Origin_Label,Destination_Label,Product_Code,Year_label,XGB_Forecast
Afghanistan,Russian Federation,6109,2022,5.4721184
Afghanistan,Russian Federation,8517,2022,35.31023
Afghanistan,Saudi Arabia,2106,2022,1.3073937
Afghanistan,Saudi Arabia,3304,2022,5.308854
Afghanistan,Saudi Arabia,6109,2022,15.468503
Afghanistan,Saudi Arabia,8517,2022,34.93182
Afghanistan,Saudi Arabia,9404,2022,28.733221
Afghanistan,Senegal,2106,2022,1.0497985
Afghanistan,Senegal,3304,2022,2.5465553
Afghanistan,Senegal,8517,2022,25.693943
Afghanistan,Serbia,8517,2022,71.75917
Afghanistan,Seychelles,3304,2022,2.1273723
Afghanistan,Seychelles,6109,2022,3.100504
Afghanistan,Seychelles,8517,2022,33.37991
Afghanistan,Seychelles,9404,2022,27.949581
Afghanistan,Singapore,3304,2022,2.8432899
Afghanistan,Singapore,6109,2022,3.2318892
Afghanistan,Singapore,8517,2022,41.556488
Afghanistan,Slovakia,6109,2022,2.0635643
Afghanistan,Slovakia,8517,2022,24.662548
Afghanistan,Sri Lanka,2106,2022,0.71905804
Afghanistan,Sri Lanka,8517,2022,52.840374
Afghanistan,State of Palestine,2106,2022,1.0966694
Afghanistan,"Switzerland, Liechtenstein",2106,2022,2.7752233
Afghanistan,"Switzerland, Liechtenstein",3304,2022,2.2295804
Afghanistan,"Switzerland, Liechtenstein",6109,2022,7.0190735
Afghanistan,"Switzerland, Liechtenstein",8517,2022,41.077663
Afghanistan,"Switzerland, Liechtenstein",9404,2022,28.951466
Afghanistan,Tajikistan,6109,2022,2.8582568
Afghanistan,Tajikistan,8517,2022,25.174477
Afghanistan,Tajikistan,9404,2022,18.709143
Afghanistan,"Tanzania, United Republic of",2106,2022,0.81796455
Afghanistan,Thailand,3304,2022,1.3833553
Afghanistan,Thailand,6109,2022,4.759459
Afghanistan,Thailand,8517,2022,29.810844
Afghanistan,Thailand,9404,2022,1.8008401
Afghanistan,Trinidad and Tobago,8517,2022,30.077356
Afghanistan,Ukraine,6109,2022,3.1946547
Afghanistan,Ukraine,8517,2022,51.968647
Afghanistan,United Arab Emirates,2106,2022,3.2946336
Afghanistan,United Arab Emirates,3304,2022,2.8414607
Afghanistan,United Arab Emirates,6109,2022,21.742355
Afghanistan,United Arab Emirates,8517,2022,16.6549
Afghanistan,United Arab Emirates,9404,2022,28.992386
Afghanistan,United Kingdom,3304,2022,2.228513
Afghanistan,United Kingdom,8517,2022,29.528862
Afghanistan,United States of America,2106,2022,1.2024168
Afghanistan,United States of America,3304,2022,4.3530216
Afghanistan,United States of America,6109,2022,7.7605667
Afghanistan,United States of America,8517,2022,50.722984
Afghanistan,United States of America,9404,2022,20.15504
Afghanistan,Uruguay,6109,2022,2.060739
Afghanistan,Uzbekistan,2106,2022,1.2587334
Afghanistan,Uzbekistan,8517,2022,26.90856
Afghanistan,Zambia,6109,2022,2.6135426
Albania,Andorra,6109,2022,5.586769
Albania,Angola,8517,2022,25.22648
Albania,Argentina,8517,2022,47.18305
Albania,Armenia,6109,2022,10.996206
Albania,Australia,6109,2022,1.4357278
Albania,Australia,8517,2022,26.417057
Albania,Austria,2106,2022,1.6424133
Albania,Austria,3304,2022,2.1975977
Albania,Austria,6109,2022,6.6215014
Albania,Austria,8517,2022,51.267338
Albania,Austria,9404,2022,18.981403
Albania,Azerbaijan,6109,2022,8.318592
Albania,Bahrain,2106,2022,1.1291503
Albania,Bahrain,6109,2022,6.5493526
Albania,Barbados,6109,2022,4.0012584
Albania,Belarus,2106,2022,1.0768317
Albania,Belarus,6109,2022,2.9914992
Albania,Belgium,2106,2022,4.4394484
Albania,Belgium,3304,2022,5.622032
Albania,Belgium,6109,2022,5.731696
Albania,Belgium,8517,2022,52.87073
Albania,Belgium,9404,2022,18.800718
Albania,Bermuda,6109,2022,2.5600884
Albania,Bolivia (Plurinational State of),6109,2022,1.6395954
Albania,Bolivia (Plurinational State of),8517,2022,29.88142
Albania,Bosnia and Herzegovina,6109,2022,3.08122
Albania,Bosnia and Herzegovina,8517,2022,14.405872
Albania,Bosnia and Herzegovina,9404,2022,0.5694411
Albania,Brazil,2106,2022,0.88147736
Albania,Brazil,6109,2022,13.112618
Albania,Brunei Darussalam,6109,2022,2.7332716
Albania,Bulgaria,6109,2022,1.7552755
Albania,Bulgaria,8517,2022,72.52592
Albania,Bulgaria,9404,2022,18.651932
Albania,Burkina Faso,9404,2022,18.529415
Albania,Burundi,2106,2022,1.3863062
Albania,Burundi,8517,2022,14.487869
Albania,Central African Republic,8517,2022,73.38107
Albania,Chile,2106,2022,1.3891313
Albania,Chile,6109,2022,4.2399726
Albania,Chile,8517,2022,49.93749
Albania,China,2106,2022,1.6611882
Albania,China,3304,2022,4.1271286
Albania,China,6109,2022,20.501137
Albania,China,8517,2022,29.013638
Albania,China,9404,2022,18.927294
Albania,"China, Hong Kong SAR",3304,2022,1.4625461
Albania,"China, Hong Kong SAR",8517,2022,37.321373
Albania,"China, Macao SAR",6109,2022,8.759249
Albania,Colombia,6109,2022,6.4417095
